time,dive_index,current_a,voltage_v,power_w,energy_wh,charge_ah,min_voltage_v,max_voltage_v,max_current_a,min_power_w,max_power_w,battery_wh,battery_use_pct,battery_sticks_capacity_pct,run_time_h,source_file
2026-01-28T23:01:44.999875Z,-1,0.1125,35.4337,3.987,9.3252,0.2617,35.3336,36.5589,0.4801,1.188,17.481,29.628,1.0,1.0,1.9718,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:02:44.625167Z,-1,0.07,35.4587,2.483,9.3753,0.2632,35.3336,36.5589,0.4801,1.188,17.481,29.844,1.0,1.0,1.9883,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:03:44.267625Z,-1,0.0775,35.4587,2.749,9.4225,0.2645,35.3336,36.5589,0.4801,1.188,17.481,29.844,1.0,1.0,2.0049,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:05:05.352735Z,-1,0.07,35.4837,2.484,9.4862,0.2663,35.3336,36.5589,0.4801,1.188,17.481,29.88,1.0,1.0,2.0274,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:05:32.403134Z,1,0.0675,35.3836,2.389,9.5397,0.2678,35.3336,36.5589,0.4801,1.188,17.481,29.88,1.0,1.0,2.0349,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:05:53.256558Z,1,0.07,35.4837,2.484,9.5552,0.2682,35.3336,36.5589,0.4801,1.188,17.481,29.88,1.0,1.0,2.0407,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:06:21.027936Z,1,0.07,35.4337,2.481,9.5757,0.2688,35.3336,36.5589,0.4801,1.188,17.481,29.88,1.0,1.0,2.0484,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:06:48.865403Z,1,0.055,35.4086,1.948,9.5962,0.2694,35.3336,36.5589,0.4801,1.188,17.481,30.132,1.0,1.0,2.0562,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:07:09.882764Z,1,0.0725,35.4837,2.573,9.6118,0.2698,35.3336,36.5589,0.4801,1.188,17.481,30.132,1.0,1.0,2.062,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:07:37.769155Z,1,0.0525,35.4837,1.863,9.6325,0.2704,35.3336,36.5589,0.4801,1.188,17.481,30.132,1.0,1.0,2.0697,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:08:00.671357Z,1,0.05,35.5087,1.776,9.6483,0.2709,35.3336,36.5589,0.4801,1.188,17.481,30.132,1.0,1.0,2.0761,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:08:25.557965Z,1,0.0575,35.5087,2.042,9.6621,0.2712,35.3336,36.5589,0.4801,1.188,17.481,30.132,1.0,1.0,2.083,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:08:50.526971Z,1,0.0525,35.5087,1.865,9.6745,0.2716,35.3336,36.5589,0.4801,1.188,17.481,30.132,1.0,1.0,2.09,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:09:15.445336Z,1,0.0525,35.5087,1.865,9.6863,0.2719,35.3336,36.5589,0.4801,1.188,17.481,30.132,1.0,1.0,2.0969,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:09:42.070016Z,1,0.0375,35.5337,1.333,9.6981,0.2723,35.3336,36.5589,0.4801,1.188,17.481,30.132,1.0,1.0,2.1043,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:10:05.332707Z,1,0.0575,35.5087,2.042,9.7097,0.2726,35.3336,36.5589,0.4801,1.188,17.481,30.132,1.0,1.0,2.1107,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:10:20.334195Z,1,0.0475,35.5337,1.688,9.7171,0.2728,35.3336,36.5589,0.4801,1.188,17.481,0.0,100.0,1.0,2.1149,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:10:54.236459Z,1,0.045,35.5087,1.598,9.8026,0.2752,35.1586,36.5589,1.1428,0.799,40.293,30.24,1.0,1.0,2.1243,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:11:19.287003Z,1,0.035,35.5087,1.243,9.8161,0.2756,35.1586,36.5589,1.1428,0.799,40.293,30.24,1.0,1.0,2.1313,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:11:44.222535Z,1,0.045,35.5337,1.599,9.8237,0.2758,35.1586,36.5589,1.1428,0.799,40.293,30.24,1.0,1.0,2.1382,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:12:09.060220Z,1,0.04,35.5337,1.422,9.8311,0.276,35.1586,36.5589,1.1428,0.799,40.293,30.24,1.0,1.0,2.1451,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:12:34.044675Z,1,0.045,35.5337,1.599,9.8387,0.2762,35.1586,36.5589,1.1428,0.799,40.293,30.24,1.0,1.0,2.152,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:12:53.913621Z,1,0.045,35.5337,1.599,9.8447,0.2764,35.1586,36.5589,1.1428,0.799,40.293,30.348,1.0,1.0,2.1576,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:13:05.832929Z,1,0.0275,35.5087,0.977,9.8833,0.2775,35.1586,36.5589,1.1428,0.799,40.293,30.348,1.0,1.0,2.1609,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:13:40.588349Z,-1,0.0375,35.5087,1.332,9.9521,0.2794,35.1586,36.5589,1.1428,0.799,40.293,30.348,1.0,1.0,2.1705,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:14:35.853013Z,-1,0.0825,35.4837,2.928,9.9921,0.2806,35.1586,36.5589,1.1428,0.799,40.293,30.348,1.0,1.0,2.1859,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:15:12.034940Z,2,0.0725,35.4587,2.571,10.0816,0.2831,35.1586,36.5589,1.1428,0.799,40.293,0.0,100.0,1.0,2.1959,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:15:20.772504Z,2,0.0525,35.4086,1.859,10.0878,0.2833,35.1586,36.5589,1.1428,0.799,40.293,30.492,1.0,1.0,2.1984,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:15:49.577283Z,2,0.05,35.5087,1.776,10.1071,0.2838,35.1586,36.5589,1.1428,0.799,40.293,30.492,1.0,1.0,2.2064,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:16:14.447583Z,2,0.055,35.5087,1.953,10.1196,0.2842,35.1586,36.5589,1.1428,0.799,40.293,30.492,1.0,1.0,2.2133,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:16:39.480962Z,2,0.0525,35.5087,1.865,10.1324,0.2845,35.1586,36.5589,1.1428,0.799,40.293,30.672,1.0,1.0,2.2202,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:17:04.318646Z,2,0.055,35.5087,1.953,10.1441,0.2849,35.1586,36.5589,1.1428,0.799,40.293,30.672,1.0,1.0,2.2271,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:17:29.220704Z,2,0.0525,35.5337,1.866,10.1559,0.2852,35.1586,36.5589,1.1428,0.799,40.293,30.672,1.0,1.0,2.234,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:17:54.254941Z,2,0.0525,35.5337,1.866,10.1687,0.2856,35.1586,36.5589,1.1428,0.799,40.293,30.672,1.0,1.0,2.241,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:18:19.125241Z,2,0.055,35.5337,1.955,10.18,0.2859,35.1586,36.5589,1.1428,0.799,40.293,30.672,1.0,1.0,2.2479,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:18:45.044393Z,2,0.04,35.5087,1.421,10.2572,0.2881,35.1586,36.5589,1.1428,0.799,40.293,30.744,1.0,1.0,2.2551,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:19:10.045156Z,2,0.0375,35.5087,1.332,10.2759,0.2886,35.1586,36.5589,1.1428,0.799,40.293,30.744,1.0,1.0,2.262,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:19:38.390740Z,2,0.025,35.5337,0.889,10.286,0.2889,35.1586,36.5589,1.1428,0.799,40.293,30.744,1.0,1.0,2.2699,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:19:59.867295Z,2,0.045,35.5337,1.599,10.2929,0.2891,35.1586,36.5589,1.1428,0.799,40.293,30.744,1.0,1.0,2.2759,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:20:24.818276Z,2,0.04,35.5337,1.422,10.3003,0.2893,35.1586,36.5589,1.1428,0.799,40.293,30.744,1.0,1.0,2.2828,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:20:49.820756Z,2,0.035,35.5337,1.244,10.3077,0.2895,35.1586,36.5589,1.1428,0.799,40.293,30.816,1.0,1.0,2.2898,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:21:06.673612Z,2,0.0275,35.5337,0.977,10.3487,0.2906,35.1586,36.5589,1.1428,0.799,40.293,0.0,100.0,1.0,2.2944,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:21:37.642182Z,-1,0.0775,35.4837,2.751,10.4161,0.2925,35.1586,36.5589,1.1428,0.799,40.293,30.816,1.0,1.0,2.303,Belladonna_2026_01_28T21_39_19_PLATFORMDATA_00000_28-JAN-2026.MPCU_001.nc
2026-01-28T23:25:44.000480Z,-1,0.125,35.4837,4.437,10.6055,0.2979,35.1586,36.5589,1.1428,0.799,40.293,31.14,1.0,1.0,2.3527,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:26:43.626201Z,3,0.115,35.4837,4.082,10.6915,0.3003,35.1586,36.5589,1.1428,0.799,40.293,31.14,1.0,1.0,2.3693,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:27:12.004401Z,3,0.09,35.4837,3.194,10.7179,0.3011,35.1586,36.5589,1.1428,0.799,40.293,31.14,1.0,1.0,2.3772,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:27:46.727206Z,3,0.0525,35.4587,1.862,10.7732,0.3026,35.1586,36.5589,1.1428,0.799,40.293,31.32,1.0,1.0,2.3868,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:28:07.515399Z,3,0.0525,35.4337,1.861,10.7886,0.303,35.1586,36.5589,1.1428,0.799,40.293,31.32,1.0,1.0,2.3926,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:28:35.221545Z,3,0.07,35.4587,2.483,10.8091,0.3036,35.1586,36.5589,1.1428,0.799,40.293,31.32,1.0,1.0,2.4003,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:28:56.008880Z,3,0.06,35.4587,2.128,10.8245,0.3041,35.1586,36.5589,1.1428,0.799,40.293,31.32,1.0,1.0,2.4061,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:29:23.763949Z,3,0.07,35.4587,2.483,10.845,0.3046,35.1586,36.5589,1.1428,0.799,40.293,31.32,1.0,1.0,2.4138,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:29:51.651198Z,3,0.0575,35.4587,2.039,10.8656,0.3052,35.1586,36.5589,1.1428,0.799,40.293,31.5,1.0,1.0,2.4215,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:30:12.094352Z,3,0.07,35.5087,2.486,10.8779,0.3056,35.1586,36.5589,1.1428,0.799,40.293,31.5,1.0,1.0,2.4272,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:30:36.357829Z,3,0.05,35.5087,1.776,10.8955,0.3061,35.1586,36.5589,1.1428,0.799,40.293,31.5,1.0,1.0,2.434,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:31:01.358592Z,3,0.0525,35.5087,1.865,10.9085,0.3064,35.1586,36.5589,1.1428,0.799,40.293,31.5,1.0,1.0,2.4409,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:31:26.245200Z,3,0.0575,35.5087,2.044,10.9208,0.3068,35.1586,36.5589,1.1428,0.799,40.293,31.5,1.0,1.0,2.4478,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:31:51.164424Z,3,0.0525,35.5337,1.866,10.931,0.3071,35.1586,36.5589,1.1428,0.799,40.293,31.572,1.0,1.0,2.4547,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:32:16.247584Z,3,0.0625,35.5337,2.221,10.9435,0.3074,35.1586,36.5589,1.1428,0.799,40.293,31.572,1.0,1.0,2.4617,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:32:41.395976Z,3,0.045,35.5337,1.599,10.9559,0.3078,35.1586,36.5589,1.1428,0.799,40.293,31.572,1.0,1.0,2.4687,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:33:08.036963Z,3,0.04,35.5087,1.421,11.0325,0.3099,35.1336,36.5589,1.1428,0.799,40.293,31.572,1.0,1.0,2.4761,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:33:33.054034Z,3,0.0425,35.5337,1.511,11.0465,0.3103,35.1336,36.5589,1.1428,0.797,40.293,31.572,1.0,1.0,2.483,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:33:57.924335Z,3,0.045,35.5337,1.599,11.0539,0.3105,35.1336,36.5589,1.1428,0.797,40.293,31.68,1.0,1.0,2.4899,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:34:22.875316Z,3,0.045,35.5337,1.599,11.0615,0.3107,35.1336,36.5589,1.1428,0.797,40.293,31.68,1.0,1.0,2.4969,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:34:47.893245Z,3,0.035,35.5337,1.244,11.0687,0.311,35.1336,36.5589,1.1428,0.797,40.293,31.68,1.0,1.0,2.5038,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:35:12.796161Z,-1,0.04,35.5587,1.423,11.0758,0.3112,35.1336,36.5589,1.1428,0.797,40.293,31.68,1.0,1.0,2.5107,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:35:40.289447Z,4,0.2551,35.3836,9.031,11.1676,0.3137,35.1336,36.5589,1.1428,0.797,40.293,0.0,100.0,1.0,2.5184,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:35:50.535914Z,4,0.0275,35.5087,0.977,11.181,0.3141,35.1336,36.5589,1.1428,0.797,40.293,31.86,1.0,1.0,2.5212,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:36:24.111163Z,4,0.0775,35.4837,2.751,11.2103,0.315,35.1336,36.5589,1.1428,0.797,40.293,31.86,1.0,1.0,2.5306,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:36:51.456820Z,4,0.0725,35.4587,2.571,11.2912,0.3172,35.1336,36.5589,1.1428,0.797,40.293,31.86,1.0,1.0,2.5381,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:37:14.539268Z,4,0.0525,35.4837,1.863,11.3068,0.3177,35.1336,36.5589,1.1428,0.797,40.293,31.86,1.0,1.0,2.5446,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:37:39.540889Z,4,0.085,35.5087,3.019,11.3207,0.3181,35.1336,36.5589,1.1428,0.797,40.293,32.004,1.0,1.0,2.5515,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:38:04.344241Z,4,0.05,35.5087,1.776,11.3322,0.3184,35.1336,36.5589,1.1428,0.797,40.293,32.004,1.0,1.0,2.5584,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:38:29.296081Z,4,0.0675,35.5087,2.397,11.3437,0.3187,35.1336,36.5589,1.1428,0.797,40.293,32.004,1.0,1.0,2.5653,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:38:54.280536Z,4,0.0525,35.5087,1.865,11.3555,0.3191,35.1336,36.5589,1.1428,0.797,40.293,32.004,1.0,1.0,2.5723,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:39:19.184310Z,4,0.0775,35.5087,2.753,11.3674,0.3194,35.1336,36.5589,1.1428,0.797,40.293,32.004,1.0,1.0,2.5792,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:39:44.102675Z,4,0.055,35.5087,1.953,11.3783,0.3197,35.1336,36.5589,1.1428,0.797,40.293,32.004,1.0,1.0,2.5861,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:40:10.710189Z,4,0.03,35.5087,1.066,11.4473,0.3217,35.1336,36.5589,1.1428,0.797,40.293,32.004,1.0,1.0,2.5935,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:40:31.088111Z,4,0.035,35.5087,1.243,11.4657,0.3222,35.1336,36.5589,1.1428,0.794,40.293,32.004,1.0,1.0,2.5992,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:40:55.942103Z,4,0.0375,35.5087,1.332,11.4738,0.3224,35.1336,36.5589,1.1428,0.794,40.293,32.004,1.0,1.0,2.6061,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:41:20.862185Z,4,0.0375,35.5087,1.332,11.4817,0.3226,35.1336,36.5589,1.1428,0.794,40.293,32.004,1.0,1.0,2.613,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:41:45.911872Z,4,0.035,35.5337,1.244,11.4886,0.3228,35.1336,36.5589,1.1428,0.794,40.293,32.22,1.0,1.0,2.6199,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:42:10.782172Z,-1,0.04,35.5337,1.422,11.4954,0.323,35.1336,36.5589,1.1428,0.794,40.293,32.22,1.0,1.0,2.6268,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:42:37.684085Z,-1,0.4001,35.3836,14.157,11.5282,0.3239,35.1336,36.5589,1.1428,0.794,40.293,32.22,1.0,1.0,2.6343,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:42:43.700816Z,-1,0.0275,35.5087,0.977,11.5396,0.3243,35.1336,36.5589,1.1428,0.794,40.293,32.22,1.0,1.0,2.636,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:43:06.439940Z,5,0.0275,35.5087,0.977,11.604,0.3261,35.1336,36.5589,1.1428,0.794,40.293,32.22,1.0,1.0,2.6423,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:44:01.032550Z,5,0.0575,35.4337,2.038,11.7094,0.3291,35.1336,36.5589,1.1428,0.794,40.293,0.0,100.0,1.0,2.6575,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:44:03.294188Z,5,0.07,35.4587,2.483,11.7114,0.3291,35.1336,36.5589,1.1428,0.794,40.293,32.328,1.0,1.0,2.6581,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:44:16.524989Z,5,0.06,35.4587,2.128,11.7197,0.3293,35.1336,36.5589,1.1428,0.794,40.293,32.328,1.0,1.0,2.6618,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:44:39.427192Z,5,0.0575,35.4837,2.041,11.7353,0.3298,35.1336,36.5589,1.1428,0.794,40.293,32.328,1.0,1.0,2.6681,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:45:04.313800Z,5,0.05,35.4837,1.775,11.749,0.3302,35.1336,36.5589,1.1428,0.794,40.293,32.328,1.0,1.0,2.6751,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:45:29.298255Z,5,0.055,35.5087,1.953,11.7612,0.3305,35.1336,36.5589,1.1428,0.794,40.293,32.328,1.0,1.0,2.682,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:45:54.267261Z,5,0.0525,35.5087,1.865,11.7734,0.3309,35.1336,36.5589,1.1428,0.794,40.293,32.508,1.0,1.0,2.6889,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:46:19.153010Z,5,0.0525,35.5087,1.865,11.7849,0.3312,35.1336,36.5589,1.1428,0.794,40.293,32.508,1.0,1.0,2.6958,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:46:44.203555Z,5,0.075,35.5087,2.664,11.7976,0.3315,35.1336,36.5589,1.1428,0.794,40.293,32.508,1.0,1.0,2.7028,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:47:04.105975Z,5,0.0775,35.5087,2.753,11.8083,0.3318,35.1336,36.5589,1.1428,0.794,40.293,32.508,1.0,1.0,2.7083,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:47:36.058166Z,5,0.04,35.4837,1.421,11.8925,0.3342,35.1086,36.5589,1.1428,0.794,40.293,32.652,1.0,1.0,2.7172,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:48:00.928466Z,5,0.0425,35.5087,1.509,11.909,0.3347,35.1086,36.5589,1.1428,0.794,40.293,32.652,1.0,1.0,2.7241,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:48:25.912921Z,5,0.0375,35.5087,1.332,11.9168,0.3349,35.1086,36.5589,1.1428,0.794,40.293,32.652,1.0,1.0,2.7311,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:48:50.848453Z,5,0.0425,35.5087,1.509,11.9242,0.3351,35.1086,36.5589,1.1428,0.794,40.293,32.652,1.0,1.0,2.738,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:49:15.816600Z,5,0.04,35.5337,1.422,11.9311,0.3353,35.1086,36.5589,1.1428,0.794,40.293,32.652,1.0,1.0,2.7449,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:49:40.801055Z,-1,0.035,35.5337,1.244,11.9387,0.3355,35.1086,36.5589,1.1428,0.794,40.293,32.724,1.0,1.0,2.7519,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:49:53.621585Z,-1,0.025,35.5087,0.888,11.9784,0.3367,35.1086,36.5589,1.1428,0.794,40.293,0.0,100.0,1.0,2.7554,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
2026-01-28T23:50:16.310927Z,6,0.0275,35.5087,0.977,12.043,0.3385,35.1086,36.5589,1.1428,0.794,40.293,32.724,1.0,1.0,2.7617,Belladonna_2026_01_28T23_22_48_PLATFORMDATA_00005_28-JAN-2026.MPCU_001.nc
